1,H,Hydrogen,1.00794,Hydrogen is the lightest element. It is by far the most abundant element in the universe and makes up about about 90% of the universe by weight. Hydrogen as water (H2O) is absolutely essential to life and it is present in all organic compounds. Hydrogen is the lightest gas. Hydrogen gas was used in lighter-than-air balloons for transport but is far too dangerous because of the fire risk (Hindenburg). It burns in air to form only water as waste product and if hydrogen could be made on sufficient scale from other than fossil fuels then there might be a possibility of a hydrogen economy. Info courtesy http://www.webelements.com/,FALSE,1.jpg
2,He,Helium,4.002602,Helium is one of the so-called noble gases. Helium gas is an unreactive colourless and odourless monoatomic gas. Helium is available in pressurised tanks. Helium is the second most abundant element in the universe after hydrogen. _-particles are doubly ionised helium atoms He2+. Helium is used in lighter than air balloons and while heavier than hydrogen is far safer since helium does not burn. Speaking after breathing an atmosphere rich in helium results in a squeaky voice (don't try it!). Info courtesy http://www.webelements.com/,FALSE,2.jpg
3,Li,Lithium,6.941,"Lithium is a Group 1 (IA) element containing just a single valence electron (1s22s1). Group 1 elements are called ""alkali metals"". Lithium is a solid only about half as dense as water and lithium metal is the least dense metal. A freshly cut chunk of lithium is silvery but tarnishes in a minute or so in air to give a grey surface. Its chemistry is dominated by its tendency to lose an electron to form Li+. It is the first element within the second period. Info courtesy http://www.webelements.com/",TRUE,3.jpg
4,Be,Beryllium,9.012182,Beryllium is a Group 2 (IIA) element. It is a metal and has a high melting point. At ordinary temperatures beryllium resists oxidation in air. Beryllium compounds are very toxic. Its ability to scratch glass is probably due to the formation of a thin layer of the oxide. Aquamarine and emerald are precious forms of the mineral beryl [Be3Al2(SiO3)6]. Its chemistry is dominated by its tendency to lose an electron to form Be2+. As this ion is so small it is highly polarising to the extent that its compounds are rather covalent. Its small size means that its complexes tend to be tetrahedral rahter than octahedral. Info courtesy http://www.webelements.com/ ,TRUE,4.jpg
5,B,Boron,10.811,Boron is a Group 13 element that has properties which are borderline between metals and non-metals (semimetallic). It is a semiconductor rather than a metallic conductor. Chemically it is closer to silicon than to aluminium gallium indium and thallium. Crystalline boron is inert chemically and is resistant to attack by boiling HF or HCl. When finely divided it is attacked slowly by hot concentrated nitric acid. Info courtesy http://www.webelements.com/ ,FALSE,5.jpg
6,C,Carbon,12.0107,"Carbon is a Group 14 element and is distributed very widely in nature. It is found in abundance in the sun stars comets and atmospheres of most planets. Carbon is found free in nature in three allotropic forms: amorphous graphite and diamond. Graphite is one of the softest known materials while diamond is one of the hardest. Carbon as microscopic diamonds is found in some meteorites. Natural diamonds are found in ancient volcanic ""pipes"" such as found in South Africa. Diamonds are also recovered from the ocean floor off the Cape of Good Hope. Info courtesy http://www.webelements.com/ ",FALSE,6.jpg
7,N,Nitrogen,14.0067,"Nitrogen is a Group 15 element. Nitrogen makes up about 78% of the atmosphere by volume but the atmosphere of Mars contains less than 3% nitrogen. The element seemed so inert that Lavoisier named it azote meaning ""without life"". However its compounds are vital components of foods fertilizers and explosives. Nitrogen gas is colourless odourless and generally inert. As a liquid it is also colourless and odourless. Info courtesy http://www.webelements.com/ ",FALSE,7.jpg
8,O,Oxygen,15.9994,Oxygen is a Group 16 element. While about one fifth of the atmosphere is oxygen gas the atmosphere of Mars contains only about 0.15% oxygen. Oxygen is the third most abundant element found in the sun and it plays a part in the carbon-nitrogen cycle one process responsible for stellar energy production. Oxygen in excited states is responsible for the bright red and yellow-green colours of the aurora. About two thirds of the human body and nine tenths of water is oxygen. The gas is colourless odourless and tasteless. Liquid and solid oxygen are pale blue (see picture above) and strongly paramagnetic (contains unpaired electrons). Info courtesy http://www.webelements.com/ ,FALSE,8.jpg
9,F,Fluorine,18.9994,Fluorine is a Group 17 element. Fluorine is the most electronegative and reactive of all elements. It is a pale yellow corrosive gas which reacts with practically all organic and inorganic substances. Finely divided metals glass ceramics carbon and even water burn in fluorine with a bright flame. It is not uncommon to see fluorine spelled incorrectly as flourine. Info courtesy http://www.webelements.com/ ,FALSE,9.jpg
10,Ne,Neon,20.1797,Neon is a very inert element. Neon forms an unstable hydrate. In a vacuum discharge tube neon glows reddish orange. Of all the rare gases the discharge of neon is the most intense at ordinary voltages and currents. It is present in the atmosphere as 1 part in 65000. Liquid neon has over 40 times more refrigerating capacity than liquid helium and more than 3 times that of liquid hydrogen. Info courtesy http://www.webelements.com/ ,FALSE,10.jpg
11,Na,Sodium,22.98976928,"Sodium is a Group 1 element (or IA in older labelling styles). Group 1 elements are often referred to as the ""alkali metals"". The chemistry of sodium is dominated by the +1 ion Na+. Sodium salts impart a characteristic orange/yellow colour to flames and orange street lighting is orange because of the presence of sodium in the lamp. Soap is generally a sodium salt of fatty acids. The importance of common salt to animal nutrition has been recognized since prehistoric times. The most common compound is sodium chloride (table salt). Info courtesy http://www.webelements.com/ ",TRUE,11.jpg
12,Mg,Magnesium,24.305,Magnesium is a grayish-white fairly tough metal. Magnesium is the eighth most abundant element in the earth's crust although not found in it's elemental form. It is a Group 2 element (Group IIA in older labelling schemes). Group 2 elements are called alkaline earth metals. Magnesium metal burns with a very bright light. Magnesium is an important element for plant and animal life. Chlorophylls are porphyrins based upon magnesium. The adult human daily requirement of magnesium is about 0.3 g day-1. Info courtesy http://www.webelements.com/ ,TRUE,12.jpg
13,Al,Aluminium,26.9815386,Pure aluminium is a silvery-white metal with many desirable characteristics. It is light nontoxic (as the metal) nonmagnetic and nonsparking. It is somewhat decorative. It is easily formed machined and cast. Pure aluminium is soft and lacks strength but alloys with small amounts of copper magnesium silicon manganese and other elements have very useful properties. Aluminium is an abundant element in the earth's crust but it is not found free in nature. The Bayer process is used to refine aluminium from bauxite an aluminium ore. Info courtesy http://www.webelements.com/ ,TRUE,13.jpg
14,Si,Silicon,28.0855,Silicon is present in the sun and stars and is a principal component of a class of meteorites known as aerolites. Silicon makes up 25.7% of the earth's crust by weight and is the second most abundant element exceeded only by oxygen. It is found largely as silicon oxides such as sand (silica) quartz rock crystal amethyst agate flint jasper and opal. Silicon is found also in minerals such as asbestos feldspar clay and mica. Info courtesy http://www.webelements.com/ ,FALSE,14.jpg
15,P,Phosphorus,30.973762,"Phosphorus is commonly misspelled ""phosphorous"". It is an essential component of living systems and is found in nervous tissue bones and cell protoplasm. Phosphorus exists in several allotropic forms including white (or yellow) red and black (or violet). White phosphorus has two modifications. Ordinary phosphorus is a waxy white solid. When pure it is colourless and transparent. It is insoluble in water but soluble in carbon disulphide. It catches fire spontaneously in air burning to P4O10 often misnamed as phosphorus pentoxide. When exposed to sunlight or when heated in its own vapour to 250¡C it is converted to the red variety. This form does not ignite spontaneously and it is a little less dangerous than white phosphorus. The red modification is fairly stable and sublimes with a vapour pressure of 1 atmosphere at 417¡C. Info courtesy http://www.webelements.com/ ",FALSE,15.jpg
16,S,Sulphur,32.065,"Sulphur (sulfur) is a pale yellow odourless brittle solid which is insoluble in water but soluble in carbon disulphide. Sulphur is essential to life. It is a minor constituent of fats body fluids and skeletal minerals. The spelling of sulphur is ""sulfur"" in the USA while sulphur is common elsewhere. IUPAC has does not have jurisdiction over language but has decided sulfur is preferred. Info courtesy http://www.webelements.com/ ",FALSE,16.jpg
17,Cl,Chlorine,35.453,Chlorine is a greenish yellow gas which combines directly with nearly all elements. Chlorine is a respiratory irritant. The gas irritates the mucous membranes and the liquid burns the skin. As little as 3.5 ppm can be detected as an odour and 1000 ppm is likely to be fatal after a few deep breaths. It was used as a war gas in 1915. It is not found in a free state in nature but is found commonly as NaCl (solid or seawater). Info courtesy http://www.webelements.com/ ,FALSE,17.jpg
18,Ar,Argon,39.948,Argon is a colourless and odourless gas present to a very small extent in the atmosphere. Argon is very inert (indeed it is referred to as one of the noble gases) and is not known to form true chemical compounds. It makes a good atmosphere for working with air-sensitive materials since it is heavier than air and less reactive than N2. Today the chemical symbol for argon is Ar but until 1957 its sybol was simply A. Info courtesy http://www.webelements.com/ ,FALSE,18.jpg
19,K,Potassium,39.0983,Potassium is a metal and is the seventh most abundant and makes up about 1.5 % by weight of the earth's crust. Potassium is an essential constituent for plant growth and it is found in most soils. It is also a vital element in the human diet. Potassium is never found free in nature but is obtained by electrolysis of the chloride or hydroxide much in the same manner as prepared by Davy. It is one of the most reactive and electropositive of metals and apart from lithium it is the least dense known metal. It is soft and easily cut with a knife. It is silvery in appearance immediately after a fresh surface is exposed. Info courtesy http://www.webelements.com/ ,TRUE,19.jpg
20,Ca,Calcium,40.078,Calcium as the element is a grey silvery metal. The metal is rather hard. Calcium is an essential constituent of leaves bones teeth and shells. Calcium is the fifth most abundant element in the earth's crust and makes up more than 3% of the crust. Calcium does not occur as the metal itself in nature and instead is found in various minerals including as limestone gypsum and fluorite. Stalagmites and stalactites contain calcium carbonate (CaCO3). Calcium carbonate is the basis of the cement industry. Info courtesy http://www.webelements.com/ ,TRUE,20.jpg
21,Sc,Scandium,44.955912,Scandium is a silvery-white metal which develops a slightly yellowish or pinkish cast upon exposure to air. It is relatively soft and resembles yttrium and the rare-earth metals more than it resembles aluminium or titanium. Scandium reacts rapidly with many acids. Scandium is apparently a much more abundant element in the sun and certain stars than on earth. Info courtesy http://www.webelements.com/ ,TRUE,21.jpg
22,Ti,Titanium,47.867,Titanium s a lustrous white metal when pure. Titanium minerals are quite common. The metal has a low density good strength is easily fabricated and has excellent corrosion resistance. The metal burns in air and is the only element that burns in nitrogen. It is marvellous in fireworks. Titanium is resistant to dilute sulphuric and hydrochloric acid most organic acids damp chlorine gas and chloride solutions. Titanium metal is considered to be physiologically inert. Info courtesy http://www.webelements.com/ ,TRUE,22.jpg
23,V,Vanadium,50.9415,Pure vanadium is a greyish silvery metal and is soft and ductile. It has good corrosion resistance to alkalis sulphuric acid hydrochloric acid and salt waters. The metal oxidizes readily above 660¡C to form V2O5. Industrially most vanadium produced is used as an additive to improve steels. Info courtesy http://www.webelements.com/ ,TRUE,23.jpg
24,Cr,Chromium,51.9961,Chromium is steel-gray lustrous hard metallic and takes a high polish. Its compounds are toxic. It is found as chromite ore. Siberian red lead (crocoite PrCrO4) is a chromium ore prized as a red pigment for oil paints. Emerald is a form of beryl (a beryllium aluminium silicate) which is green because of the inclusion of a little chromium into the beryl crytal lattice in place of some of the aluminium ions. Similarly traces of chromium incorporated into the crystal lattice of corundum (crystalline aluminium oxide Al2O3) as a replacement for some of the Al3+ ions results in another highly coloured gem stone in this case the red ruby. Info courtesy http://www.webelements.com/ ,TRUE,24.jpg
25,Mn,Manganese,54.938045,Manganese metal is gray-white resembling iron but is harder and very brittle. The metal is reactive chemically and decomposes cold water slowly. Manganese is widely distributed throughout the animal kingdom. It is an important trace element and may be essential for utilisation of vitamin B. Manganese is present in quantity the floor of oceans. It is an important component of steel. Info courtesy http://www.webelements.com/ ,TRUE,25.jpg
26,Fe,Iron,55.845,Iron is a relatively abundant element in the universe. It is found in the sun and many types of stars in considerable quantity. Iron nuclei are very stable. Iron is a vital constituent of plant and animal life and is the key component of haemoglobin. The pure metal is not often encountered in commerce but is usually alloyed with carbon or other metals. The pure metal is very reactive chemically and rapidly corrodes especially in moist air or at elevated temperatures. Any car owner knows this. Iron metal is a silvery lustrous metal which has important magnetic properties. Info courtesy http://www.webelements.com/ ,TRUE,26.jpg
27,Co,Cobalt,58.933195,Cobalt is a brittle hard silver-grey transition metal with magnetic properties similar to those of iron (ferromagnetic). Cobalt is present in meteorites. Ore deposits are found in Zaire Morocco and Canada. The isotope cobalt-60 (60Co) is an artificially produced isotope used as a source of _ rays (its high energy radiation is useful for sterilisation in medicine and of foods). Cobalt salts colour glass a beautiful deep blue colour. Cobalt compounds are important catalysts in a number of industrial processes. Cobalt is required in small amounts for life and is the only metal found in vitamins (cobalt is the critical component of vitamin B12. Info courtesy http://www.webelements.com/ ,TRUE,27.jpg
28,Ni,Nickel,58.6934,"Nickel is found as a constituent in most meteorites and often serves as one of the criteria for distinguishing a meteorite from other minerals. Iron meteorites or siderites may contain iron alloyed with from 5 to nearly 20% nickel. The USA 5-cent coin (whose nickname is ""nickel"") contains just 25% nickel. Nickel is a silvery white metal that takes on a high polish. It is hard malleable ductile somewhat ferromagnetic and a fair conductor of heat and electricity. Info courtesy http://www.webelements.com/ ",TRUE,28.jpg
29,Cu,Copper,63.546,"Copper is one of the most important metals. Copper is reddish with a bright metallic lustre. It is malleable ductile and a good conductor of heat and electricity (second only to silver in electrical conductivity). Its alloys brass and bronze are very important. Monel and gun metals also contain copper. Apparently the reason that policemen in the USA are nicknamed ""cops"" or ""coppers"" is to do with their uniforms which used to have copper buttons. Info courtesy http://www.webelements.com/ ",TRUE,29.jpg
